family	upstream_symbol	upstream_signature	header_path_line	feature_gate	overload_disposition	go_symbol	go_signature	input_unit	output_unit	result_shape	count_meaning	destination_precondition	alias_contract	scalar_source	amd64_source	arm64_source	test_source	fuzz_source	benchmark_source	status	milestone	exclusion_reason
Transcoding/length	simdutf::convert_utf16le_to_utf32	size_t (const char16_t *, size_t, char32_t *) noexcept	include/simdutf/implementation.h:2673	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF16LEToUTF32	func ConvertUTF16LEToUTF32(input []uint16, dst []uint32) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	UTF-32 code units ([]uint32)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf16le_to_utf32_tests.cpp;tests/convert_utf16le_to_utf32_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF16LEToUTF32)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16be_to_utf32	size_t (const char16_t *, size_t, char32_t *) noexcept	include/simdutf/implementation.h:2706	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF16BEToUTF32	func ConvertUTF16BEToUTF32(input []uint16, dst []uint32) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	UTF-32 code units ([]uint32)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/convert_utf16be_to_utf32_tests.cpp;tests/convert_utf16be_to_utf32_with_errors_tests.cpp;tests/convert_utf16be_to_utf8_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF16BEToUTF32)	benchmarks/shortbench.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16_to_utf32_with_errors	result (const char16_t *, size_t, char32_t *) noexcept	include/simdutf/implementation.h:2742	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF16ToUTF32WithErrors	func ConvertUTF16ToUTF32WithErrors(input []uint16, dst []uint32) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	UTF-32 code units ([]uint32)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:2742; native-endian delegate to simdutf::convert_utf16le_to_utf32_with_errors or simdutf::convert_utf16be_to_utf32_with_errors	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/convert_utf16le_to_utf32_with_errors_tests.cpp	not_applicable: no convert_utf16_to_utf32_with_errors occurrence under fuzz at pinned tree	not_applicable: no convert_utf16_to_utf32_with_errors occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16le_to_utf32_with_errors	result (const char16_t *, size_t, char32_t *) noexcept	include/simdutf/implementation.h:2777	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF16LEToUTF32WithErrors	func ConvertUTF16LEToUTF32WithErrors(input []uint16, dst []uint32) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	UTF-32 code units ([]uint32)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/convert_utf16le_to_utf32_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF16LEToUTF32WithErrors)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16be_to_utf32_with_errors	result (const char16_t *, size_t, char32_t *) noexcept	include/simdutf/implementation.h:2813	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF16BEToUTF32WithErrors	func ConvertUTF16BEToUTF32WithErrors(input []uint16, dst []uint32) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	UTF-32 code units ([]uint32)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_utf16be_to_utf32_with_errors_tests.cpp;tests/convert_utf16be_to_utf8_with_errors_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF16BEToUTF32WithErrors)	not_applicable: no convert_utf16be_to_utf32_with_errors occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf16_to_utf32	size_t (const char16_t *, size_t, char32_t *) noexcept	include/simdutf/implementation.h:2847	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertValidUTF16ToUTF32	func ConvertValidUTF16ToUTF32(input []uint16, dst []uint32) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	UTF-32 code units ([]uint32)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:2847; native-endian delegate to simdutf::convert_valid_utf16le_to_utf32 or simdutf::convert_valid_utf16be_to_utf32	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/convert_valid_utf16le_to_utf32_tests.cpp	not_applicable: no convert_valid_utf16_to_utf32 occurrence under fuzz at pinned tree	not_applicable: no convert_valid_utf16_to_utf32 occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf16le_to_utf32	size_t (const char16_t *, size_t, char32_t *) noexcept	include/simdutf/implementation.h:2881	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertValidUTF16LEToUTF32	func ConvertValidUTF16LEToUTF32(input []uint16, dst []uint32) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	UTF-32 code units ([]uint32)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_valid_utf16le_to_utf32_tests.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertValidUTF16LEToUTF32)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf16be_to_utf32	size_t (const char16_t *, size_t, char32_t *) noexcept	include/simdutf/implementation.h:2915	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertValidUTF16BEToUTF32	func ConvertValidUTF16BEToUTF32(input []uint16, dst []uint32) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	UTF-32 code units ([]uint32)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_valid_utf16be_to_utf32_tests.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertValidUTF16BEToUTF32)	not_applicable: no convert_valid_utf16be_to_utf32 occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::utf8_length_from_utf16	size_t (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:2949	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	UTF8LengthFromUTF16	func UTF8LengthFromUTF16(input []uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:2949; native-endian delegate to simdutf::utf8_length_from_utf16le or simdutf::utf8_length_from_utf16be	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/convert_utf16_to_utf8_safe_tests.cpp;tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/convert_utf16be_to_utf8_tests.cpp;tests/convert_utf16be_to_utf8_with_errors_tests.cpp;tests/convert_utf16le_to_utf8_tests.cpp;tests/convert_utf16le_to_utf8_with_errors_tests.cpp;tests/convert_utf8_to_utf16le_tests.cpp;tests/convert_valid_utf16be_to_utf8_tests.cpp;tests/convert_valid_utf16le_to_utf8_tests.cpp;tests/convert_valid_utf8_to_utf16le_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp;tests/special_tests.cpp;tests/straight_c_test.c;tests/to_well_formed_utf16_tests.cpp;tests/utf8_length_from_utf16_tests.cpp;tests/validate_utf16le_basic_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz/safe_conversion.cpp;fuzz/with_replacement.cpp	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h;benchmarks/stream.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::utf8_length_from_utf16_with_replacement	result (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:2985	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	UTF8LengthFromUTF16WithReplacement	func UTF8LengthFromUTF16WithReplacement(input []uint16) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	Result	Count is required UTF-8 bytes regardless of Error; Error is SUCCESS or SURROGATE as a surrogate-presence flag, not a validation failure	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:2985; native-endian delegate to simdutf::utf8_length_from_utf16le_with_replacement or simdutf::utf8_length_from_utf16be_with_replacement	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/utf8_length_from_utf16_tests.cpp	not_applicable: no utf8_length_from_utf16_with_replacement occurrence under fuzz at pinned tree	not_applicable: no utf8_length_from_utf16_with_replacement occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::utf8_length_from_utf16le	size_t (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:3015	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	UTF8LengthFromUTF16LE	func UTF8LengthFromUTF16LE(input []uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/basic_fuzzer.cpp;tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/convert_utf16le_to_utf8_tests.cpp;tests/convert_utf16le_to_utf8_with_errors_tests.cpp;tests/convert_utf8_to_utf16le_tests.cpp;tests/convert_valid_utf16le_to_utf8_tests.cpp;tests/convert_valid_utf8_to_utf16le_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/special_tests.cpp;tests/to_well_formed_utf16_tests.cpp;tests/utf8_length_from_utf16_tests.cpp;tests/validate_utf16le_basic_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz/with_replacement.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for UTF8LengthFromUTF16LE)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h;benchmarks/stream.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::utf8_length_from_utf16be	size_t (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:3044	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	UTF8LengthFromUTF16BE	func UTF8LengthFromUTF16BE(input []uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/convert_utf16be_to_utf8_tests.cpp;tests/convert_utf16be_to_utf8_with_errors_tests.cpp;tests/convert_valid_utf16be_to_utf8_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/special_tests.cpp;tests/to_well_formed_utf16_tests.cpp;tests/utf8_length_from_utf16_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz/with_replacement.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for UTF8LengthFromUTF16BE)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf32_to_utf8	size_t (const char32_t *, size_t, char *) noexcept	include/simdutf/implementation.h:3077	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF32ToUTF8	func ConvertUTF32ToUTF8(input []uint32, dst []byte) int	UTF-32 code units ([]uint32)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/avx2_convert_utf32_to_utf8.cpp;src/haswell/implementation.cpp;src/westmere/implementation.cpp;src/westmere/sse_convert_utf32_to_utf8.cpp	src/arm64/arm_convert_utf32_to_utf8.cpp;src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf32_to_utf8_tests.cpp;tests/convert_utf32_to_utf8_with_errors_tests.cpp;tests/random_fuzzer.cpp;tests/simdutf_c_tests.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF32ToUTF8)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf32_to_utf8_with_errors	result (const char32_t *, size_t, char *) noexcept	include/simdutf/implementation.h:3114	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF32ToUTF8WithErrors	func ConvertUTF32ToUTF8WithErrors(input []uint32, dst []byte) Result	UTF-32 code units ([]uint32)	bytes ([]byte)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/avx2_convert_utf32_to_utf8.cpp;src/haswell/implementation.cpp;src/westmere/implementation.cpp;src/westmere/sse_convert_utf32_to_utf8.cpp	src/arm64/arm_convert_utf32_to_utf8.cpp;src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/convert_utf32_to_utf8_with_errors_tests.cpp;tests/simdutf_c_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF32ToUTF8WithErrors)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf32_to_utf8	size_t (const char32_t *, size_t, char *) noexcept	include/simdutf/implementation.h:3148	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertValidUTF32ToUTF8	func ConvertValidUTF32ToUTF8(input []uint32, dst []byte) int	UTF-32 code units ([]uint32)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_valid_utf32_to_utf8_tests.cpp;tests/null_safety_tests.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertValidUTF32ToUTF8)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf32_to_utf16	size_t (const char32_t *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:3185	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF32ToUTF16	func ConvertUTF32ToUTF16(input []uint32, dst []uint16) int	UTF-32 code units ([]uint32)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:3185; native-endian delegate to simdutf::convert_utf32_to_utf16le or simdutf::convert_utf32_to_utf16be	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf32_to_utf16be_tests.cpp;tests/convert_utf32_to_utf16be_with_errors_tests.cpp;tests/convert_utf32_to_utf16le_tests.cpp;tests/convert_utf32_to_utf16le_with_errors_tests.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf32_to_utf16le	size_t (const char32_t *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:3217	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF32ToUTF16LE	func ConvertUTF32ToUTF16LE(input []uint32, dst []uint16) int	UTF-32 code units ([]uint32)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf32_to_utf16le_tests.cpp;tests/convert_utf32_to_utf16le_with_errors_tests.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF32ToUTF16LE)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf32_to_latin1	size_t (const char32_t *, size_t, char *) noexcept	include/simdutf/implementation.h:3252	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF32ToLatin1	func ConvertUTF32ToLatin1(input []uint32, dst []byte) int	UTF-32 code units ([]uint32)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/avx2_convert_utf32_to_latin1.cpp;src/haswell/implementation.cpp;src/westmere/implementation.cpp;src/westmere/sse_convert_utf32_to_latin1.cpp	src/arm64/arm_convert_utf32_to_latin1.cpp;src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_utf32_to_latin1_tests.cpp;tests/convert_utf32_to_latin1_with_errors_tests.cpp;tests/random_fuzzer.cpp;tests/span_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF32ToLatin1)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf32_to_latin1_with_errors	result (const char32_t *, size_t, char *) noexcept	include/simdutf/implementation.h:3290	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF32ToLatin1WithErrors	func ConvertUTF32ToLatin1WithErrors(input []uint32, dst []byte) Result	UTF-32 code units ([]uint32)	bytes ([]byte)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/avx2_convert_utf32_to_latin1.cpp;src/haswell/implementation.cpp;src/westmere/implementation.cpp;src/westmere/sse_convert_utf32_to_latin1.cpp	src/arm64/arm_convert_utf32_to_latin1.cpp;src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_utf32_to_latin1_with_errors_tests.cpp;tests/span_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF32ToLatin1WithErrors)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf32_to_latin1	size_t (const char32_t *, size_t, char *) noexcept	include/simdutf/implementation.h:3331	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertValidUTF32ToLatin1	func ConvertValidUTF32ToLatin1(input []uint32, dst []byte) int	UTF-32 code units ([]uint32)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_valid_utf32_to_latin1_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/span_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertValidUTF32ToLatin1)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::latin1_length_from_utf32	size_t (size_t) noexcept	include/simdutf/implementation.h:3367	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	Latin1LengthFromUTF32	func Latin1LengthFromUTF32(length int) int	input code-unit/byte count (int)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no latin1_length_from_utf32 occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no latin1_length_from_utf32 occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no latin1_length_from_utf32 occurrence under src/arm64 at pinned tree	tests/convert_utf32_to_latin1_tests.cpp;tests/convert_utf32_to_latin1_with_errors_tests.cpp;tests/convert_valid_utf32_to_latin1_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp	not_applicable: no latin1_length_from_utf32 occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::utf32_length_from_latin1	size_t (size_t) noexcept	include/simdutf/implementation.h:3380	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	UTF32LengthFromLatin1	func UTF32LengthFromLatin1(length int) int	input code-unit/byte count (int)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no utf32_length_from_latin1 occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no utf32_length_from_latin1 occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no utf32_length_from_latin1 occurrence under src/arm64 at pinned tree	tests/convert_latin1_to_utf32_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp	not_applicable: no utf32_length_from_latin1 occurrence under benchmarks at pinned tree	implemented	611becc-current-api	not_applicable
Transcoding/length	simdutf::convert_utf32_to_utf16be	size_t (const char32_t *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:3399	SIMDUTF_FEATURE_UTF16 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF32ToUTF16BE	func ConvertUTF32ToUTF16BE(input []uint32, dst []uint16) int	UTF-32 code units ([]uint32)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/convert_utf32_to_utf16be_tests.cpp;tests/convert_utf32_to_utf16be_with_errors_tests.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF32ToUTF16BE)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp	planned	future-upstream-api	not_applicable
